timestamp,ambiente_temperature,energy,active_power,voltage,current,internal_temperature,cost,status
1606125600,23.6000,0.0371,37.1468,217.6862,0.1706,5.7456,191.7367,ON
1606129200,24.4000,0.0334,33.3659,221.0002,0.1510,6.5178,191.7578,ON
1606132800,26.0000,0.0562,56.2232,220.1734,0.2554,5.8026,191.7934,ON
1606136400,25.4000,0.0401,40.0671,220.9107,0.1814,6.2295,191.8187,ON
1606140000,25.1000,0.0553,55.3412,217.5658,0.2544,6.1367,191.8537,ON
1606143600,25.2000,0.0523,52.2900,219.9971,0.2377,6.1643,191.8868,ON
1606147200,23.3000,0.0514,51.3789,219.3778,0.2342,5.6213,191.9193,ON
1606150800,24.0000,0.0392,39.1681,221.3452,0.1770,5.5560,191.9441,ON
1606154400,22.3000,0.0384,38.3679,220.3810,0.1741,5.8928,191.9683,ON
1606158000,20.8000,0.0299,29.9198,222.3823,0.1345,6.4115,191.9873,ON
1606161600,21.1000,0.0436,43.5553,221.0958,0.1970,6.0370,192.0148,ON
1606165200,21.3000,0.0468,46.7679,217.9706,0.2146,6.1100,192.0444,ON
1606168800,21.2000,0.0389,38.9017,218.9595,0.1777,6.4166,192.0690,ON
1606172400,20.6000,0.0408,40.7562,219.8993,0.1853,5.9112,192.0948,ON
1606176000,20.4000,0.0387,38.6722,218.2926,0.1772,6.4172,192.1192,ON
1606179600,19.9000,0.0306,30.6393,217.6119,0.1408,5.6632,192.1386,ON
1606183200,19.6000,0.0326,32.5524,222.1691,0.1465,6.3781,192.1592,ON
1606186800,19.2000,0.0358,35.8250,218.2514,0.1641,5.6564,192.1819,ON
1606190400,18.4000,0.0286,28.6450,221.5472,0.1293,6.0717,192.2000,ON
1606194000,18.4000,0.0369,36.9310,220.4854,0.1675,5.9570,192.2233,ON
1606197600,17.9000,0.0332,33.2073,220.6759,0.1505,6.3818,192.2443,ON
1606201200,19.3000,0.0369,36.8669,219.4543,0.1680,5.8171,192.2677,ON
1606204800,18.0000,0.0367,36.7278,220.7432,0.1664,6.2213,192.2909,ON
1606208400,18.1000,0.0367,36.7270,221.0838,0.1661,6.1604,192.3141,ON
1606212000,18.8000,0.0406,40.5950,220.1848,0.1844,6.0463,192.3398,ON
1606215600,20.6000,0.0397,39.6558,218.4202,0.1816,6.1158,192.3649,ON
1606219200,21.3000,0.0425,42.4706,217.6636,0.1951,5.5208,192.3917,ON
1606222800,23.0000,0.0332,33.2434,221.4927,0.1501,5.6555,192.4128,ON
1606226400,23.7000,0.0512,51.1600,218.5341,0.2341,5.7419,192.4451,ON
1606230000,24.2000,0.0447,44.6590,222.3392,0.2009,5.8223,192.4734,ON
1606233600,24.2000,0.0450,45.0148,220.1349,0.2045,5.7396,192.5018,ON
1606237200,24.2000,0.0362,36.1766,220.0236,0.1644,5.6223,192.5247,ON
1606240800,23.6000,0.0503,50.2578,222.4798,0.2259,5.6650,192.5565,ON
1606244400,23.2000,0.0411,41.1204,220.2710,0.1867,5.8330,192.5825,ON
1606248000,23.3000,0.0412,41.2011,220.8445,0.1866,6.0832,192.6086,ON
