timestamp,ambiente_temperature,energy,active_power,voltage,current,internal_temperature,cost,status
1577840400000,26.9000,0.0465,46.5304,222.2892,0.2093,7.8110,0.0294,ON
1577844000000,26.6000,0.0490,49.0204,218.5343,0.2243,8.4860,0.0604,ON
1577847600000,26.4000,0.0394,39.3609,219.3941,0.1794,8.4970,0.0853,ON
1577851200000,26.5000,0.0489,48.8564,217.9427,0.2242,8.1813,0.1162,ON
1577854800000,26.5000,0.0477,47.6861,220.2885,0.2165,8.0780,0.1464,ON
1577858400000,26.0000,0.0407,40.6569,218.3484,0.1862,8.3004,0.1721,ON
1577862000000,25.6000,0.0392,39.1591,217.8655,0.1797,8.0162,0.1969,ON
1577865600000,25.9000,0.0487,48.7192,220.8103,0.2206,8.2244,0.2277,ON
1577869200000,24.8000,0.0339,33.9310,221.8334,0.1530,7.9170,0.2491,ON
1577872800000,24.8000,0.0450,45.0209,221.1406,0.2036,8.1369,0.2776,ON
1577876400000,25.2000,0.0397,39.7450,218.5814,0.1818,7.8629,0.3028,ON
1577880000000,28.0000,0.0401,40.1202,222.4164,0.1804,8.0515,0.3281,ON
1577883600000,29.4000,0.0465,46.4586,219.7054,0.2115,8.1692,0.3575,ON
1577887200000,29.9000,0.0578,57.8094,218.3233,0.2648,8.1440,0.3941,ON
1577890800000,30.0000,0.0497,49.6914,218.1905,0.2277,7.9289,0.4255,ON
1577894400000,30.6000,0.0411,41.0697,217.9581,0.1884,8.1669,0.4515,ON
1577898000000,30.5000,0.0570,57.0018,217.5645,0.2620,7.7568,0.4875,ON
1577901600000,30.0000,0.0401,40.0944,222.2123,0.1804,8.2759,0.5129,ON
1577905200000,30.2000,0.0508,50.8029,220.5728,0.2303,7.7168,0.5450,ON
1577908800000,29.2000,0.0552,55.2482,219.5669,0.2516,7.6701,0.5800,ON
1577912400000,28.6000,0.0415,41.5283,218.8793,0.1897,7.9975,0.6062,ON
1577916000000,28.1000,0.0592,59.1972,218.0165,0.2715,8.3178,0.6437,ON
1577919600000,27.4000,0.0581,58.0580,221.0419,0.2627,7.7497,0.6804,ON
1577923200000,27.1000,0.0499,49.8639,217.9030,0.2288,8.3669,0.7119,ON
1577926800000,27.0000,0.0399,39.8698,219.8824,0.1813,8.2788,0.7372,ON
1577930400000,27.0000,0.0530,53.0397,220.9616,0.2400,7.8362,0.7707,ON
1577934000000,26.9000,0.0432,43.1691,221.7408,0.1947,7.9023,0.7980,ON
1577937600000,26.0000,0.0406,40.6061,220.8747,0.1838,8.1697,0.8237,ON
1577941200000,25.4000,0.0430,42.9606,220.8209,0.1945,7.8464,0.8509,ON
1577944800000,24.9000,0.0341,34.1468,217.5562,0.1570,7.7238,0.8725,ON
1577948400000,24.5000,0.0513,51.3491,220.3920,0.2330,8.1732,0.9049,ON
1577952000000,24.2000,0.0494,49.4061,219.9332,0.2246,8.2028,0.9362,ON
1577955600000,23.9000,0.0371,37.1052,222.3697,0.1669,7.5679,0.9597,ON
1577959200000,25.6000,0.0499,49.8639,217.9843,0.2287,8.4631,0.9912,ON
1577962800000,27.1000,0.0378,37.8083,220.1889,0.1717,7.6055,1.0151,ON
1577966400000,28.6000,0.0487,48.6826,220.2110,0.2211,7.9713,1.0459,ON
1577970000000,30.5000,0.0446,44.6249,221.7659,0.2012,7.8489,1.0741,ON
1577973600000,30.5000,0.0519,51.8957,221.1916,0.2346,7.7147,1.1070,ON
1577977200000,31.0000,0.0512,51.1929,221.5409,0.2311,7.7254,1.1393,ON
1577980800000,31.2000,0.0597,59.6619,221.3144,0.2696,7.8140,1.1771,ON
1577984400000,31.7000,0.0557,55.6639,220.6861,0.2522,8.1887,1.2123,ON
1577988000000,30.9000,0.0601,60.1039,219.1741,0.2742,8.0038,1.2503,ON
1577991600000,30.6000,0.0630,63.0283,219.2323,0.2875,8.2260,1.2902,ON
1577995200000,29.7000,0.0596,59.6188,221.6634,0.2690,8.2337,1.3279,ON
1577998800000,29.2000,0.0535,53.5052,222.2926,0.2407,7.7893,1.3617,ON
1578002400000,28.3000,0.0464,46.4287,222.4307,0.2087,8.3193,1.3911,ON
1578006000000,27.9000,0.0552,55.1692,221.1554,0.2495,8.2196,1.4260,ON
1578009600000,27.9000,0.0597,59.7171,220.5916,0.2707,7.8828,1.4637,ON
1578013200000,28.1000,0.0516,51.5908,218.0548,0.2366,7.8516,1.4964,ON
1578016800000,28.0000,0.0468,46.8134,222.2685,0.2106,7.5567,1.5260,ON
1578020400000,27.4000,0.0437,43.6817,219.8829,0.1987,8.4944,1.5536,ON
1578024000000,26.7000,0.0398,39.8426,221.1884,0.1801,8.0946,1.5788,ON
1578027600000,26.9000,0.0463,46.3386,222.4790,0.2083,8.4696,1.6081,ON
1578031200000,26.4000,0.0493,49.2731,220.0374,0.2239,8.0755,1.6393,ON
1578034800000,26.7000,0.0397,39.7122,219.9749,0.1805,7.9708,1.6644,ON
1578038400000,26.8000,0.0555,55.4569,218.6256,0.2537,7.8666,1.6995,ON
1578042000000,26.6000,0.0435,43.4723,222.4445,0.1954,8.4198,1.7270,ON
1578045600000,27.0000,0.0574,57.4179,218.7229,0.2625,8.3162,1.7633,ON
1578049200000,29.3000,0.0511,51.0712,221.0358,0.2311,7.5557,1.7956,ON
1578052800000,31.1000,0.0405,40.5498,222.2259,0.1825,8.1688,1.8212,ON
1578056400000,32.7000,0.0436,43.5558,222.4286,0.1958,7.9262,1.8488,ON
1578060000000,36.0000,0.0669,66.9006,221.8151,0.3016,8.1229,1.8911,ON
1578063600000,37.3000,0.0650,64.9743,221.6051,0.2932,7.7026,1.9322,ON
1578067200000,38.3000,0.0523,52.2931,221.2339,0.2364,8.1154,1.9653,ON
1578070800000,39.1000,0.0744,74.3831,222.2326,0.3347,7.7605,2.0123,ON
1578074400000,39.3000,0.0769,76.8997,219.9963,0.3495,7.9335,2.0609,ON
1578078000000,36.1000,0.0577,57.7197,221.3358,0.2608,8.0806,2.0975,ON
1578081600000,33.9000,0.0703,70.3484,220.4123,0.3192,7.4797,2.1419,ON
1578085200000,29.5000,0.0382,38.1900,222.3051,0.1718,7.6032,2.1661,ON
1578088800000,29.0000,0.0527,52.6745,221.1489,0.2382,8.0851,2.1994,ON
1578092400000,27.3000,0.0364,36.3998,222.5174,0.1636,7.8798,2.2224,ON
1578096000000,26.0000,0.0384,38.3875,221.5291,0.1733,8.0487,2.2467,ON
1578099600000,26.4000,0.0373,37.2621,217.7487,0.1711,8.3806,2.2703,ON
1578103200000,25.3000,0.0341,34.0856,218.6941,0.1559,7.7943,2.2918,ON
1578106800000,25.3000,0.0366,36.6090,220.6341,0.1659,8.2327,2.3150,ON
1578110400000,25.4000,0.0452,45.1948,219.8441,0.2056,8.3102,2.3436,ON
1578114000000,25.3000,0.0358,35.7746,220.2801,0.1624,8.3182,2.3662,ON
1578117600000,25.2000,0.0456,45.5704,219.4343,0.2077,8.1748,2.3950,ON
1578121200000,24.6000,0.0509,50.9458,220.7380,0.2308,7.8509,2.4273,ON
1578124800000,24.5000,0.0471,47.1403,220.4420,0.2138,8.2069,2.4571,ON
1578128400000,25.3000,0.0508,50.7709,221.2247,0.2295,7.9455,2.4892,ON
1578132000000,25.1000,0.0335,33.5038,220.2754,0.1521,8.1151,2.5104,ON
1578135600000,25.2000,0.0334,33.4191,221.5140,0.1509,8.0185,2.5315,ON
1578139200000,25.0000,0.0519,51.8923,217.6905,0.2384,8.1563,2.5643,ON
1578142800000,24.4000,0.0414,41.4409,219.2503,0.1890,8.2807,2.5905,ON
1578146400000,25.2000,0.0362,36.2228,220.6580,0.1642,7.8198,2.6135,ON
1578150000000,25.7000,0.0506,50.5867,221.9563,0.2279,8.1659,2.6455,ON
1578153600000,25.4000,0.0454,45.4141,220.8271,0.2057,7.9750,2.6742,ON
1578157200000,25.5000,0.0417,41.7392,221.7871,0.1882,8.1792,2.7006,ON
1578160800000,24.3000,0.0423,42.2773,221.6924,0.1907,8.2428,2.7273,ON
1578164400000,24.2000,0.0325,32.4825,218.0565,0.1490,7.6129,2.7479,ON
1578168000000,24.7000,0.0352,35.2437,218.4235,0.1614,7.6986,2.7702,ON
1578171600000,24.6000,0.0363,36.3134,219.0351,0.1658,7.8172,2.7931,ON
1578175200000,24.2000,0.0459,45.9113,222.3726,0.2065,8.1433,2.8222,ON
1578178800000,24.1000,0.0346,34.6101,219.4239,0.1577,8.1486,2.8440,ON
1578182400000,23.8000,0.0442,44.2424,221.1840,0.2000,7.8588,2.8720,ON
1578186000000,23.5000,0.0362,36.1534,217.9582,0.1659,7.9402,2.8949,ON
1578189600000,23.2000,0.0474,47.4254,220.8027,0.2148,7.6909,2.9249,ON
1578193200000,23.0000,0.0431,43.0891,218.2038,0.1975,8.3867,2.9521,ON
1578196800000,23.1000,0.0429,42.8640,220.4337,0.1945,8.0341,2.9793,ON
1578200400000,23.0000,0.0434,43.3768,218.6554,0.1984,8.4240,3.0067,ON
1578204000000,23.0000,0.0379,37.9033,219.9957,0.1723,7.6803,3.0307,ON
1578207600000,23.0000,0.0307,30.6874,219.1796,0.1400,8.0819,3.0501,ON
1578211200000,23.4000,0.0390,39.0051,218.5043,0.1785,8.2073,3.0747,ON
1578214800000,23.6000,0.0337,33.7456,219.3260,0.1539,8.1446,3.0961,ON
1578218400000,23.7000,0.0366,36.6311,219.7866,0.1667,7.6094,3.1193,ON
1578222000000,24.2000,0.0441,44.0952,220.6602,0.1998,7.9112,3.1471,ON
1578225600000,24.3000,0.0350,35.0005,218.9787,0.1598,7.7792,3.1693,ON
1578229200000,22.9000,0.0467,46.6790,218.4321,0.2137,7.4683,3.1988,ON
1578232800000,23.1000,0.0316,31.6174,217.8907,0.1451,8.4243,3.2188,ON
1578236400000,23.8000,0.0378,37.8048,222.4413,0.1700,7.4599,3.2427,ON
1578240000000,25.1000,0.0506,50.6386,218.9953,0.2312,8.0913,3.2747,ON
1578243600000,24.8000,0.0437,43.7049,218.3560,0.2002,8.2329,3.3024,ON
1578247200000,24.7000,0.0335,33.5133,222.2777,0.1508,7.7637,3.3236,ON
1578250800000,26.2000,0.0367,36.6508,221.8847,0.1652,8.2212,3.3468,ON
1578254400000,24.9000,0.0328,32.7824,222.3825,0.1474,7.4416,3.3675,ON
1578258000000,24.4000,0.0471,47.1445,217.7965,0.2165,8.2999,3.3973,ON
1578261600000,24.3000,0.0450,45.0211,219.7420,0.2049,7.5826,3.4258,ON
1578265200000,24.1000,0.0340,34.0459,220.3322,0.1545,8.0110,3.4473,ON
1578268800000,24.3000,0.0427,42.6761,221.2770,0.1929,7.4665,3.4743,ON
1578272400000,24.1000,0.0354,35.3838,221.8077,0.1595,8.2106,3.4967,ON
1578276000000,24.1000,0.0321,32.0622,221.8612,0.1445,7.6597,3.5170,ON
1578279600000,23.2000,0.0332,33.2409,219.9195,0.1512,8.0219,3.5380,ON
1578283200000,22.8000,0.0383,38.3306,222.2957,0.1724,7.9808,3.5622,ON
1578286800000,22.3000,0.0394,39.3742,218.3671,0.1803,8.0830,3.5872,ON
1578290400000,21.9000,0.0422,42.2315,218.1798,0.1936,7.5269,3.6139,ON
1578294000000,22.0000,0.0333,33.3379,217.7733,0.1531,8.3846,3.6349,ON
1578297600000,22.1000,0.0314,31.4192,218.6784,0.1437,7.4536,3.6548,ON
1578301200000,21.8000,0.0299,29.8695,220.2725,0.1356,8.2862,3.6737,ON
1578304800000,22.6000,0.0370,36.9608,222.3393,0.1662,7.7052,3.6971,ON
1578308400000,23.5000,0.0313,31.2996,220.8807,0.1417,8.0170,3.7169,ON
1578312000000,25.6000,0.0442,44.2196,220.7699,0.2003,8.0303,3.7449,ON
1578315600000,26.9000,0.0533,53.2817,217.8387,0.2446,7.9518,3.7786,ON
1578319200000,27.3000,0.0476,47.5627,220.9593,0.2153,8.3757,3.8086,ON
1578322800000,30.0000,0.0538,53.8322,218.7917,0.2460,7.7657,3.8427,ON
